28	Nike	Men's Blue LITEFORCE III Casual Shoes -7 UK (41 EU) (8 US) (669593-403)	3.5 out of 5 stars	(409)	1,789	₹2,995	(40% off)	https://m.media-amazon.com/images/I/81N7hmMz3ZL._AC_UL320_.jpg	1	28
29	Nike	Mens M Zoom Court Lite 3 Flip Flops	3.4 out of 5 stars	(14)	4,789	₹5,695	(16% off)	https://m.media-amazon.com/images/I/511bjrEKkxL._AC_UL320_.jpg	1	29
30	Adidas	Mens Cotton M Feelcozy Swt Sweatshirt (H12226_2xl, Dgreyh/black, 2xl)	\N	\N	2,999	\N	\N	https://m.media-amazon.com/images/I/41jcK0I7FKL._AC_UL320_.jpg	1	30
31	Adidas	Men's Fitted T-Shirts	\N	\N	1,749	₹2,499	(30% off)	https://m.media-amazon.com/images/I/51ryvG8briL._AC_UL320_.jpg	1	31
32	Adidas	Men T-Shirts	\N	\N	2,499	\N	\N	https://m.media-amazon.com/images/I/817q7XeEKQL._AC_UL320_.jpg	1	32
33	Adidas	Mens Ultrafly M Shoes	4.1 out of 5 stars	(27)	2,623	₹4,999	(48% off)	https://m.media-amazon.com/images/I/71nRW9YH6HL._AC_UL320_.jpg	1	33
34	Adidas	Edge.4 FxG Football Shoe	4.5 out of 5 stars	(2)	2,999	₹4,999	(40% off)	https://m.media-amazon.com/images/I/71jOseCp1PL._AC_UL320_.jpg	1	34
35	Adidas	Unisex-Adult Copa Sense.4 FxG Football Shoe	\N	\N	2,999	₹4,999	(40% off)	https://m.media-amazon.com/images/I/61tfU3qhMSL._AC_UL320_.jpg	1	35
36	Adidas	Womens Runesy W Running Shoes	\N	\N	2,469	₹3,799	(35% off)	https://m.media-amazon.com/images/I/71q45jFjLEL._AC_UL320_.jpg	1	36
37	Nike	Quest 5 White Men's Road Running Shoes(DD0204-101)	5.0 out of 5 stars	(1)	6,250	₹6,295	(1% off)	https://m.media-amazon.com/images/I/41Udu3OhyrL._AC_UL320_.jpg	1	37
38	Nike	Mens Air Zoom Pegasus 39 Shield Running Shoe	5.0 out of 5 stars	(2)	11,950	₹11,995	\N	https://m.media-amazon.com/images/I/41RamtVHnwL._AC_UL320_.jpg	1	38
39	Nike	Mens Air Winflo 9 Shield Running Shoe	\N	\N	8,995	₹9,695	(7% off)	https://m.media-amazon.com/images/I/61EycOFMczL._AC_UL320_.jpg	1	39
40	Nike	Air Zoom Pegasus 39 Shield Men's Weatherized Road Running Shoe - Medium ash/Bright Crimson-Khaki DO7625-200	\N	\N	10,995	₹11,995	(8% off)	https://m.media-amazon.com/images/I/41jwxI8cDPL._AC_UL320_.jpg	1	40
41	Nike	Mens Air Zoom Pegasus 39 Mens Running Shoes	\N	\N	9,970	₹10,495	(5% off)	https://m.media-amazon.com/images/I/613F33xbs1L._AC_UL320_.jpg	1	41
42	Nike	MC Trainer 2 Men's Training Shoes	\N	\N	5,690	₹5,695	\N	https://m.media-amazon.com/images/I/61ybqq-S4UL._AC_UL320_.jpg	1	42
43	Nike	Air Zoom Vomero 16 Men's Running Shoe	\N	\N	12,995	₹13,495	(4% off)	https://m.media-amazon.com/images/I/51j57dJn0RL._AC_UL320_.jpg	1	43
44	Adidas	Mens Cotton M Feelcozy Swt Sweatshirt (Gv5295_2xl, Black/white, 2xl)	3.8 out of 5 stars	(4)	1,499	₹2,999	(50% off)	https://m.media-amazon.com/images/I/51DqgaIhL4L._AC_UL320_.jpg	1	44
